Headword,Greek ,Part of Speech,English
τέσσαρες,"τέσσαρες, τέσσαρες, τέσσαρα",,four
τέταρτος,"τέταρτος, τετάρτη, τέταρτον",,fourth
τιμάω,τιμάω,verb,"I honour, respect"
τιμή,"τιμή, τιμῆς, ἡ",,honour
τις,"τις, τι",,"a certain, someone, something"
τι,"τις, τι",,"a certain, someone, something"
τίς,"τίς, τί",,"who?, what?, which?"
τί,"τίς, τί",,"who?, what?, which?"
τοιοῦτος,"τοιοῦτος, τοιαύτη, τοιοῦτο",,such
τόπος,"τόπος, τόπου, ὁ",,place
τοσοῦτοι,"τοσοῦτοι, τοσαῦται, τοσαῦτα",,so many
τοσοῦτος,"τοσοῦτος, τοσαύτη, τοσοῦτο",,"so great, so much"
τότε,τότε,,"then, at that time"
τρεῖς,"τρεῖς, τρεῖς, τρία",,three
τρέχω,"τρέχω, δραμοῦμαι, ἔδραμον",verb,I run
τρίτος,"τρίτος, τρίτη, τρίτον",,third
τύχη,"τύχη, τύχης, ἡ",,"chance, luck, fortune (good or bad)"
ὕδωρ,"ὕδωρ, ὕδατος, τό",,water
υἱός,"υἱός, υἱοῦ, ὁ",,son
ὕλη,"ὕλη, ὕλης, ἡ",,"wood, forest"
ὑμεῖς,"ὑμεῖς, ὑμῶν",,you (plural)
ὑμέτερος,"ὑμέτερος, ὑμετέρα, ὑμέτερον",,your
ὑπέρ,ὑπέρ,,(+ gen.) on behalf of
ὑπισχνέομαι,"ὑπισχνέομαι, ὑποσχήσομαι, ὑπεσχόμην",verb,I promise
ὕπνος,"ὕπνος, ὕπνου, ὁ",,sleep
ὑπό,ὑπό,,by (with agent of passive verbs) (+ gen.)
ὕστερον,ὕστερον,,later
ὑψηλός,"ὑψηλός, ὑψηλή, ὑψηλόν",,high
φαίνομαι,"φαίνομαι, φανοῦμαι, ἐφάνην",verb,"I seem, appear"
φέρω,"φέρω, οἴσω, ἤνεγκα, ἠνέχθην",verb,"I carry, bear, endure"
φεύγω,"φεύγω, φεύξομαι, ἔφυγον",verb,"I run away, flee, am accused, am banished"
φημί,"φημί, φήσω, ἔφην, (impf.)",verb,I say
φιλέω,φιλέω,verb,"I love, like, am accustomed"
φίλη,"φίλη, φίλης, ἡ",,(female) friend
φίλος,"φίλος, φίλου, ὁ",,(male) friend
